,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_portfolio_duration_fund,ths_jjzhjq_mkl_fund,ths_jjggbl_fund,ACEtype,Fundtype
2615,007691.OF,007691,永赢泽利一年,永赢基金,钱布克,中长期纯债券型基金,1519134621.01,1.3283704775998,2.0458216137731,118.36611792407,,纯债基金
2616,007692.OF,007692,永赢鼎利债券A,永赢基金,谢越,中长期纯债券型基金,2525799396.46,2.2304070965051,2.229240218838,132.66121496807,A,纯债基金
2623,007706.OF,007706,南方聪元A,南方基金,黄斌斌,中长期纯债券型基金,3642945379.82,1.3161901738323,1.3158258515669,120.49412657065,A,纯债基金
2628,007714.OF,007714,南方贺元利率债A,南方基金,金凌志,中长期纯债券型基金,3172022853.81,2.1511559229648,2.1510942499066,122.13315214538,A,纯债基金
2630,007716.OF,007716,嘉实致华纯债债券,嘉实基金,王立芹,中长期纯债券型基金,980797955.33,2.3699633810831,4.3721866476304,133.50115073695,,纯债基金
2631,007717.OF,007717,工银尊享短债债券F,工银瑞信,王朔,短期纯债券型基金,5137730305.79,0.47747730604371,0.47737679491661,129.32743831438,,纯债基金
2634,007723.OF,007723,鹏华锦润86个月定开债券,鹏华基金,"邓明明,应琛",中长期纯债券型基金,8271073342.69,3.5902681574339,3.582172969504,161.77822399321,,纯债基金
2638,007740.OF,007740,天弘信益A,天弘基金,潘昱杉,中长期纯债券型基金,608392416.39,1.7310457883368,2.0422246244339,122.04531314769,A,纯债基金
2640,007744.OF,007744,长盛安逸纯债债券A,长盛基金,王贵君,中长期纯债券型基金,9734363894.39,1.9004505631695,4.5453547936436,115.43119858973,A,纯债基金
2644,007754.OF,007754,上银慧永利中短期债券A,上银基金,葛沁沁,短期纯债券型基金,833572507.24,0.77821942325186,1.0973935316985,121.0346646293,A,纯债基金
2647,007758.OF,007758,平安乐享一年定开债A,平安基金,段玮婧,中长期纯债券型基金,7123649441.8,0.29611416567315,0.29553120067895,139.92531188328,A,纯债基金
2649,007761.OF,007761,鑫元安睿三年定期开放债券,鑫元基金,郭卉,中长期纯债券型基金,8098167856.45,2.0245022672073,2.0241237993654,160.2424414776,,纯债基金
2650,007762.OF,007762,富国天盈债券(LOF)A,富国基金,俞晓斌,混合债券型基金(一级),5493833046.12,1.8763641379902,1.6161391133219,105.94982974703,A,纯债基金
2656,007772.OF,007772,浦银安盛盛煊定开债券,浦银安盛基金,陶祺,中长期纯债券型基金,4527050885.74,1.7922270718754,1.7918264673529,134.26545294104,,纯债基金
2664,007823.OF,007823,天弘弘择短债A,天弘基金,王昌俊,短期纯债券型基金,7787122151.9,0.12394871234554,0.12398516391672,114.87115039704,A,纯债基金
2666,007828.OF,007828,创金合信信用红利债券A,创金合信基金,"张贺章,郑振源,谢创",混合债券型基金(一级),2799251771.67,1.0462645073905,1.0643952357136,132.63283172042,A,纯债基金
2668,007830.OF,007830,建信荣瑞一年定期开放债券,建信基金,刘思,中长期纯债券型基金,8105506472.57,0.24307903057048,0.2423599057703,140.32021811333,,纯债基金
2671,007836.OF,007836,泰康润和两年定开债券,泰康基金,经惠云,中长期纯债券型基金,7729711547.64,0.33431938899741,0.33418591714642,155.97527058071,,纯债基金
2675,007852.OF,007852,工银瑞安3个月定开纯债债券发起式,工银瑞信,陈桂都,中长期纯债券型基金,10998990397.28,0.96488713226555,1.8019388606318,100.03536053483,,纯债基金
2678,007867.OF,007867,华泰柏瑞锦泰一年定开债券,华泰柏瑞基金,何子建,中长期纯债券型基金,8095001269.67,0.35433916233053,0.35426894514877,145.90261191499,,纯债基金
2679,007870.OF,007870,鹏华尊信3个月定开发起式债券,鹏华基金,杜培俊,中长期纯债券型基金,1644290016.96,2.8184509029891,6.102823548535,162.67968124963,,纯债基金
2680,007871.OF,007871,国泰惠享三个月定期开放债券,国泰基金,索峰,中长期纯债券型基金,2012744218.09,1.3937107322693,3.3933297933595,114.22922262878,,纯债基金
2684,007888.OF,007888,农银金盈债券,农银汇理基金,郭振宇,中长期纯债券型基金,1904351396.0,1.5385612800856,1.5383228213816,129.15581832461,,纯债基金
2695,007915.OF,007915,财通资管鸿福短债债券A,财通证券资管,"王珊,李杰",短期纯债券型基金,17013112912.51,0.60571761652239,0.60538824968671,123.6903392818,A,纯债基金
2699,007928.OF,007928,中加享润两年债券,中加基金,袁素,中长期纯债券型基金,8044296267.2,0.3204136067544,0.32018361409293,137.17456140437,,纯债基金
2700,007930.OF,007930,淳厚稳鑫债券A,淳厚基金,江文军,混合债券型基金(一级),974672508.28,1.6172318381573,5.0246799073095,122.4606489657,A,纯债基金
2702,007935.OF,007935,平安惠澜纯债A,平安基金,张文平,中长期纯债券型基金,8493303968.58,1.909561169812,2.6387798316442,133.2596514194,A,纯债基金
2708,007948.OF,007948,汇添富盛安39个月定开债,汇添富基金,胡娜,中长期纯债券型基金,8014659738.45,2.4983221573425,2.4984381275815,160.42079925263,,纯债基金
2709,007949.OF,007949,富国泽利纯债债券,富国基金,武磊,中长期纯债券型基金,560231224.94,1.3713547706333,1.370606555783,117.91963052412,,纯债基金
2711,007953.OF,007953,平安惠文纯债,平安基金,段玮婧,中长期纯债券型基金,1046942344.02,1.3546825511949,1.3547754069698,122.89151049902,,纯债基金
2712,007954.OF,007954,平安惠涌纯债,平安基金,欧阳亮,中长期纯债券型基金,1034471374.79,1.3103077620405,1.3098681510562,104.97423539153,,纯债基金
2716,007958.OF,007958,华泰柏瑞益通三个月定开债,华泰柏瑞基金,罗远航,中长期纯债券型基金,2505604231.07,2.5631270724405,2.5630962526086,123.61646698997,,纯债基金
2720,007967.OF,007967,大成惠嘉一年定开债券,大成基金,曾婷婷,中长期纯债券型基金,8060378460.35,0.40369893471692,0.40361091995208,145.87679039614,,纯债基金
2722,007970.OF,007970,国寿安保安泽纯债39个月定期开放债券,国寿安保基金,卢珊,中长期纯债券型基金,8790063819.45,2.49779336347,2.4978388005814,137.67078292495,,纯债基金
2728,007985.OF,007985,博时富悦纯债A,博时基金,"王帅,张鹿",中长期纯债券型基金,3028176998.17,3.9967497949095,3.518866013413,125.92543149639,A,纯债基金
2733,007990.OF,007990,富国汇远纯债三年定期开放债券A,富国基金,朱梦娜,中长期纯债券型基金,10121045307.36,2.2263103200924,2.225338723347,139.50791269823,A,纯债基金
2735,007996.OF,007996,博时富顺纯债债券,博时基金,陈黎,中长期纯债券型基金,2262861707.64,0.45102167308064,0.45082316921812,122.46108247994,,纯债基金
2736,007997.OF,007997,易方达年年恒秋纯债一年定期开放债券A,易方达基金,李一硕,中长期纯债券型基金,2380455197.62,0.55235255697913,2.744413102055,153.33397774255,A,纯债基金
2741,008003.OF,008003,大成通嘉三年定开债券A,大成基金,曾婷婷,中长期纯债券型基金,8004106575.99,2.1903561058286,2.1893120775731,141.57715498395,A,纯债基金
2748,008014.OF,008014,天弘鑫利三年定开,天弘基金,"陈钢,柴文婷",中长期纯债券型基金,11771496274.07,2.289620076272,2.2864645598374,182.28647039703,,纯债基金
2751,008017.OF,008017,国泰惠信三年定期开放债券,国泰基金,刘嵩扬,中长期纯债券型基金,13744661630.6,2.1285612278254,2.1283110660608,139.50989933568,,纯债基金
2752,008018.OF,008018,华富安兴39个月定期开放债券A,华富基金,倪莉莎,中长期纯债券型基金,8084102871.12,2.4501908305614,2.4495382311347,137.95715740174,A,纯债基金
2754,008022.OF,008022,建信短债债券F,建信基金,"李星佑,吴沛文,陈建良",短期纯债券型基金,19934409386.8,0.45560894042291,0.45497573914199,116.73005373502,,纯债基金
2755,008027.OF,008027,工银泰和39个月定开债券A,工银瑞信,王朔,中长期纯债券型基金,7914697482.22,0.082887044980162,0.081699607227473,157.42177181389,A,纯债基金
2757,008030.OF,008030,农银金益债券,农银汇理基金,郭振宇,中长期纯债券型基金,6243121061.57,2.2264245149625,2.2259774162436,134.39020617854,,纯债基金
2758,008031.OF,008031,创金合信汇嘉三个月定开债券,创金合信基金,郑振源,混合债券型基金(一级),4002887250.39,3.4528754027685,3.4524497651602,137.67169027789,,纯债基金
2759,008032.OF,008032,海富通裕昇三年定开债券,海富通基金,"方昆明,张靖爽",中长期纯债券型基金,8004783733.51,2.5908611741498,2.5903924907152,135.17987780596,,纯债基金
2770,008048.OF,008048,国联睿享86个月定开债券A,国联基金,哈默,中长期纯债券型基金,14385483008.97,2.8173912338584,2.817357035576,138.52887440404,A,纯债基金
2785,008102.OF,008102,中金鑫福87个月,中金基金,董珊珊,中长期纯债券型基金,8144170144.53,3.6823979672421,3.681153831465,174.85546460095,,纯债基金
2786,008104.OF,008104,中金鑫裕A,中金基金,董珊珊,中长期纯债券型基金,3263096849.97,0.4098063860369,0.40969366510824,138.01708115379,A,纯债基金
2792,008117.OF,008117,博时稳欣39个月定开债,博时基金,"黄海峰,郭思洁",中长期纯债券型基金,16283431090.49,2.6422625958403,2.6432197053269,137.88990901355,,纯债基金
2797,008130.OF,008130,广发汇优66个月定期开放债券,广发基金,刘志辉,中长期纯债券型基金,14578764453.4,1.6457507128473,1.6459110752773,137.68307531794,,纯债基金
2798,008139.OF,008139,鑫元一年定开中高等级,鑫元基金,郭卉,混合债券型基金(一级),1412981729.91,3.7774902725262,3.7773053914407,133.88475364579,,纯债基金
2804,008170.OF,008170,博时富添纯债债券A,博时基金,"李更,倪玉娟",中长期纯债券型基金,4907191238.24,4.5860120095506,4.585376964246,130.56078426807,A,纯债基金
2809,008204.OF,008204,交银稳利中短债债券A,交银施罗德,黄莹洁,短期纯债券型基金,12745824950.38,1.7202526573204,4.3183779584714,126.07161815384,A,纯债基金
2812,008207.OF,008207,国泰合融纯债债券A,国泰基金,"刘嵩扬,魏伟",中长期纯债券型基金,7007678015.42,1.7303169153209,2.4092863399816,110.74274812846,A,纯债基金
2814,008214.OF,008214,华安鑫福定开债A,华安基金,孙丽娜,中长期纯债券型基金,12114146573.56,2.7642210040937,2.7633500508674,100.01948302124,A,纯债基金
2817,008217.OF,008217,国泰聚盈三年定期开放债券,国泰基金,刘嵩扬,中长期纯债券型基金,2267663983.25,2.2837063887372,2.2827013968584,134.42184324378,,纯债基金
2818,008219.OF,008219,西部利得尊逸三年定开债券,西部利得基金,"刘心峰,李烨",中长期纯债券型基金,8018324676.16,2.2865934469471,2.2844881808823,146.32618098958,,纯债基金
2820,008223.OF,008223,交银裕泰两年定期开放债券,交银施罗德,"于海颖,张顺晨,魏玉敏",中长期纯债券型基金,7846279709.88,0.41312112702895,0.41078400706067,144.35200707831,,纯债基金
2824,008229.OF,008229,鑫元安硕两年定期开放债券,鑫元基金,郭卉,中长期纯债券型基金,8132204661.87,1.0599609869755,1.0594915088907,158.098284662,,纯债基金
2825,008231.OF,008231,海富通裕通30个月定开债券,海富通基金,"张靖爽,方昆明",中长期纯债券型基金,8094461254.68,1.434555551085,1.4341674731113,165.38145775385,,纯债基金
2828,008242.OF,008242,英大通盈纯债债券A,英大基金,"吕一楠,易祺坤,张大铮",混合债券型基金(一级),6272671299.55,1.0009540277372,1.0007635290834,112.96613638624,A,纯债基金
2833,008266.OF,008266,华夏鼎明债券A,华夏基金,孙蕾,中长期纯债券型基金,1129163279.82,0.96965881445457,3.5378484453587,100.05284134019,A,纯债基金
2836,008278.OF,008278,国泰惠鑫一年定期开放债券,国泰基金,"丁士恒,陈育洁",混合债券型基金(一级),558514904.13,0.4395299823098,1.4671046710299,139.06640026194,,纯债基金
2841,008302.OF,008302,永赢易弘债券A,永赢基金,陶毅,中长期纯债券型基金,2564629500.08,0.48048365440977,1.3647258952112,119.21902938045,A,纯债基金
2842,008316.OF,008316,蜂巢添跃66个月定开债券,蜂巢基金,金之洁,中长期纯债券型基金,8024896193.18,2.54690244477,2.5450737844766,179.875357272,,纯债基金
2852,008338.OF,008338,嘉实安元39个月定期纯债债券A,嘉实基金,李卓锴,中长期纯债券型基金,16592437109.06,2.6028738579387,2.6032581268672,143.14479577181,A,纯债基金
2859,008349.OF,008349,华夏恒泰64个月定开债券,华夏基金,张海静,中长期纯债券型基金,7160585251.55,1.6630463176956,1.6629257743292,141.91106927776,,纯债基金
2860,008352.OF,008352,交银裕坤纯债一年定期开放债券,交银施罗德,"于海颖,张顺晨",中长期纯债券型基金,2552722563.17,1.3050943425787,1.3048001898425,165.7220772502,,纯债基金
2865,008366.OF,008366,广发汇明一年定期开放债券,广发基金,刘志辉,中长期纯债券型基金,505421244.0,0.76245545532899,1.586960884694,132.33908515132,,纯债基金
2869,008383.OF,008383,招商安心收益债券A,招商基金,马龙,混合债券型基金(一级),10160812014.76,1.922524225024,2.6314829500031,134.1661107178,A,纯债基金
2874,008406.OF,008406,兴银汇裕定开债,兴银基金,王深,中长期纯债券型基金,11110180.9,0.72296963966764,2.5765632503678,104.05950374759,,纯债基金
2875,008409.OF,008409,景顺长城景泰裕利纯债A,景顺长城基金,彭成军,中长期纯债券型基金,14819547236.81,1.0669548741901,1.067031193674,123.46760598442,A,纯债基金
2876,008411.OF,008411,博时富信纯债债券,博时基金,陈黎,中长期纯债券型基金,2536947310.4,1.4804128882986,1.4796800289667,108.32196768827,,纯债基金
2881,008429.OF,008429,中信保诚嘉裕五年定开纯债,中信保诚基金,臧淑玲,中长期纯债券型基金,9341168676.53,1.0922686834842,1.0921622960498,162.59604094787,,纯债基金
2893,008460.OF,008460,招商招和39个月定开债,招商基金,康晶,中长期纯债券型基金,8792587182.47,2.7204572974147,2.720268854464,132.19931100057,,纯债基金
2894,008463.OF,008463,招商添瑞1年定开债A,招商基金,"李家辉,马龙,欧阳倩蓉",中长期纯债券型基金,8410579664.7,1.3926439991844,1.3918498474065,129.43037597003,A,纯债基金
2896,008465.OF,008465,蜂巢添益纯债A,蜂巢基金,金之洁,中长期纯债券型基金,118208451.32,1.7833487666807,2.1313888133285,122.24399745228,A,纯债基金
2900,008471.OF,008471,工银泰颐三年定开债券A,工银瑞信,陈桂都,中长期纯债券型基金,8007838892.18,2.1842057464874,2.1832043184109,156.85055037615,A,纯债基金
2904,008478.OF,008478,天弘鑫意39个月定开债,天弘基金,柴文婷,中长期纯债券型基金,8261082648.05,0.10686353936378,0.10643985463909,154.06048899128,,纯债基金
2913,008493.OF,008493,鹏华尊泰一年定开发起式债券,鹏华基金,刘涛,混合债券型基金(一级),2038332821.24,9.5193995844964,9.5187298582872,144.82020782525,,纯债基金
2916,008497.OF,008497,鹏扬浦利中短债A,鹏扬基金,陈钟闻,短期纯债券型基金,4636636961.770001,1.3358688727101,1.4792053642491,108.30832367633,A,纯债基金
2924,008508.OF,008508,国联聚锦一年定开债券,国联基金,石霄蒙,混合债券型基金(一级),1550955765.37,2.4337309051565,2.6852950562028,100.1152664415,,纯债基金
2925,008509.OF,008509,南方得利一年定开债券发起,南方基金,黄斌斌,中长期纯债券型基金,1018167093.62,2.3735844000182,2.3732453259543,131.18598244037,,纯债基金
2929,008516.OF,008516,浦银安盛盛熙一年定开债券,浦银安盛基金,曹治国,中长期纯债券型基金,5685386564.76,1.8932068166217,2.6764696569363,147.58147561008,,纯债基金
2931,008521.OF,008521,富国汇优纯债63个月定期开放债券,富国基金,朱梦娜,中长期纯债券型基金,8191347402.11,1.6660821094482,1.6662071200662,144.02001200182,,纯债基金
2937,008535.OF,008535,兴银合盛定开债A,兴银基金,"王深,范泰奇",中长期纯债券型基金,8000949230.1,2.467719641705,2.4676512593153,136.77557750711,A,纯债基金
2939,008539.OF,008539,工银开元利率债债券A,工银瑞信,张略钊,中长期纯债券型基金,1428409611.35,1.716453682084,1.7163507287211,100.05440324847,A,纯债基金
2947,008558.OF,008558,永赢邦利债券A,永赢基金,"谢越,吴玮",中长期纯债券型基金,3537770544.4,2.1037410496138,2.1035056354955,128.38607271378,A,纯债基金
2954,008568.OF,008568,蜂巢丰业一年定开,蜂巢基金,"廖新昌,金之洁",中长期纯债券型基金,3789863363.35,4.2685108489473,4.2688956867341,134.34708752453,,纯债基金
2955,008569.OF,008569,中航瑞智纯债A,中航基金,茅勇峰,中长期纯债券型基金,204749452.09,3.8227642812259,3.8226433739927,125.05450875026,A,纯债基金
2960,008575.OF,008575,财通裕惠63个月定开债券,财通基金,闫梦璇,中长期纯债券型基金,4086466960.89,1.4745098373181,1.4747952599549,155.01925576759,,纯债基金
2963,008582.OF,008582,兴银聚丰债券,兴银基金,王深,中长期纯债券型基金,1531850813.79,0.72035169210459,1.5190315141632,100.04361562327,,纯债基金
2966,008587.OF,008587,淳厚中短债A,淳厚基金,"祁洁萍,江文军",短期纯债券型基金,221386528.57,3.4706441517114,3.7714559746962,117.7189264195,A,纯债基金
2970,008596.OF,008596,平安乐顺39个月定开债A,平安基金,段玮婧,中长期纯债券型基金,8363673076.19,2.726302136899,2.7250397205059,136.14844239329,A,纯债基金
2974,008608.OF,008608,广发汇浦三年定期开放债券,广发基金,刘志辉,中长期纯债券型基金,8004781712.38,0.033816929824498,0.033816929824498,100.01863463207,,纯债基金
2982,008620.OF,008620,嘉实致宁3个月定开纯债债券,嘉实基金,王立芹,中长期纯债券型基金,1623540784.49,1.8775089919559,1.8775714845886,138.86800000335,,纯债基金
2992,008644.OF,008644,天弘季季兴三个月定开A,天弘基金,"柴文婷,陈钢",中长期纯债券型基金,596465666.82,5.6291122038117,6.1136585348288,167.53061768123,A,纯债基金
2994,008646.OF,008646,天弘增利短债A,天弘基金,"王昌俊,王顺利",短期纯债券型基金,6970922639.74,1.0830796971068,1.9678269123217,132.66228253273,A,纯债基金
2996,008648.OF,008648,嘉实致业一年定期纯债债券,嘉实基金,"王立芹,崔思维",中长期纯债券型基金,1041015790.66,1.6487370004164,4.9090041772621,127.6489732675,,纯债基金
2997,008649.OF,008649,华泰柏瑞锦兴39个月定开债券,华泰柏瑞基金,何子建,中长期纯债券型基金,8027575091.63,2.7929587792572,2.7924218337745,108.61807599061,,纯债基金
2998,008650.OF,008650,华泰柏瑞益商一年定开债券,华泰柏瑞基金,罗远航,中长期纯债券型基金,2042546679.48,1.3230017375473,1.3225228984755,124.4442989468,,纯债基金
2999,008651.OF,008651,博时富进一年期定开债发起式,博时基金,李秋实,中长期纯债券型基金,9006676595.22,1.5653400740308,1.5646661217624,129.07205261838,,纯债基金
3004,008661.OF,008661,嘉实致融一年定期债券,嘉实基金,"轩璇,胡永青",混合债券型基金(一级),1742060329.91,1.8251393705538,3.3447358095043,145.81712102079,,纯债基金
3010,008674.OF,008674,博时稳悦63个月定开债,博时基金,陈黎,中长期纯债券型基金,8346398077.55,1.629982591895,1.6299146162597,140.22637024096,,纯债基金
3011,008675.OF,008675,华安鑫浦定开债A,华安基金,孙丽娜,中长期纯债券型基金,8169540664.59,3.4205984995675,3.4200941618012,172.75004744943,A,纯债基金
3028,008700.OF,008700,泰康瑞丰3月定开债券,泰康基金,经惠云,混合债券型基金(一级),231352611.28,3.4084450335777,5.5919851856963,138.08422900114,,纯债基金
3033,008722.OF,008722,永赢欣益一年,永赢基金,吴玮,中长期纯债券型基金,1973582466.25,3.2139101626888,3.213344276366,167.81891777308,,纯债基金
3039,008730.OF,008730,天弘纯享一年定开,天弘基金,潘昱杉,中长期纯债券型基金,2004007554.45,1.7435197368973,1.7434675669827,100.04018117088,,纯债基金
3043,008738.OF,008738,天弘兴享一年定开,天弘基金,"潘昱杉,柴文婷",中长期纯债券型基金,999827190.61,1.9312673285671,3.2201742848689,137.48540992882,,纯债基金
3048,008746.OF,008746,财通多利债券A,财通基金,"闫梦璇,罗晓倩",中长期纯债券型基金,5414478670.97,0.53666396550571,0.81999827261684,108.70997157378,A,纯债基金
3056,008761.OF,008761,南方骏元中短期利率债债券,南方基金,"黄斌斌,王润栋",短期纯债券型基金,1528727102.7,1.5738319355794,1.5737684115838,124.00522787696,,纯债基金
3057,008762.OF,008762,天弘恒享一年定开,天弘基金,"潘昱杉,程明",中长期纯债券型基金,4229365019.93,1.8331518632757,1.8332402870019,124.87197562242,,纯债基金
3063,008774.OF,008774,招商鑫福中短债A,招商基金,李家辉,短期纯债券型基金,7022338327.22,0.91585474221207,1.136582949644,102.80597850827,A,纯债基金
3071,008796.OF,008796,国联恒安纯债A,国联基金,石霄蒙,中长期纯债券型基金,1002503369.84,0.85409756252917,1.4435702707529,100.04859152444,A,纯债基金
3075,008802.OF,008802,浦银安盛盛晖一年定开债券,浦银安盛基金,"陶祺,翁凯骅",中长期纯债券型基金,55251582.02,2.2871946750266,2.2870822348204,100.79934695778,,纯债基金
3080,008807.OF,008807,鹏扬淳悦一年定开债券,鹏扬基金,焦翠,中长期纯债券型基金,1950027870.09,1.2372938027283,2.1356231674862,131.33219075847,,纯债基金
3089,008826.OF,008826,天弘成享一年定开,天弘基金,"刘洋,彭玮",混合债券型基金(一级),7998199605.65,2.0621368014623,2.0622159565329,110.80015647496,,纯债基金
3090,008829.OF,008829,博时富洋一年定开债发起式,博时基金,李秋实,中长期纯债券型基金,1054995928.82,0.93613228447164,1.2080701509482,112.00546048473,,纯债基金
3093,008857.OF,008857,华夏鼎航债券A,华夏基金,孙蕾,中长期纯债券型基金,1207328742.28,1.7127702015785,2.7528805281499,122.0595561725,A,纯债基金
3096,008862.OF,008862,中银证券汇远定期开放债券,中银证券,余亮,中长期纯债券型基金,212143504.42,0.92919630867329,0.92910172368747,100.18368165976,,纯债基金
3097,008863.OF,008863,中银证券汇兴定期开放债券,中银证券,"王玉玺,曹张琪",中长期纯债券型基金,3003527381.38,2.0355498637392,2.0343880605877,149.71736619075,,纯债基金
3103,008875.OF,008875,国寿安保尊恒利率债债券A,国寿安保基金,"李辉,卢珊",中长期纯债券型基金,1526908940.92,1.2736044612704,1.2733605725462,112.35745013035,A,纯债基金
3113,008902.OF,008902,国寿安保泰吉纯债一年定开债券发起式,国寿安保基金,丁宇佳,中长期纯债券型基金,2137602574.09,1.1568850839229,1.1564521340727,127.20497981191,,纯债基金
3120,008925.OF,008925,鹏华尊达一年定开发起式债券,鹏华基金,杜培俊,混合债券型基金(一级),2307613325.03,2.9759050389042,4.8307698767093,133.23398205547,,纯债基金
3142,008995.OF,008995,中银证券安沛债券A,中银证券,余亮,中长期纯债券型基金,204534500.67,2.1041919163816,2.9575403144513,137.4881688658,A,纯债基金
3146,009001.OF,009001,长城泰利债券A,长城基金,"张棪,吴冰燕",中长期纯债券型基金,14332771964.27,1.9513637038888,1.9509833524666,108.15392995628,A,纯债基金
3150,009021.OF,009021,鹏华丰诚债券A,鹏华基金,"祝松,杜培俊",混合债券型基金(一级),1026731049.17,2.3198724643416,3.0569500831127,124.90426846122,A,纯债基金
3156,009041.OF,009041,浦银安盛普天纯债债券A,浦银安盛基金,陶祺,中长期纯债券型基金,1071304509.91,2.5116173638639,3.8078461091392,130.48439997769,A,纯债基金
3158,009045.OF,009045,浦银安盛盛智一年定开债券,浦银安盛基金,曹治国,中长期纯债券型基金,110720531.68,3.060946118476,3.0597844119065,100.10513659773,,纯债基金
3162,009082.OF,009082,华夏鼎佳债券A,华夏基金,张海静,中长期纯债券型基金,6348119391.11,2.5416094442157,4.3003086616611,121.21185729518,A,纯债基金
3168,009091.OF,009091,兴银汇悦定开债,兴银基金,范泰奇,中长期纯债券型基金,2826657330.31,1.8356570243372,4.3282871062941,128.883898944,,纯债基金
3173,009105.OF,009105,兴业嘉荣一年定开债券发起式,兴业基金,"王卓然,雷志强",中长期纯债券型基金,8011813691.26,1.9512630604636,2.9310635904589,148.82933741442,,纯债基金
3177,009148.OF,009148,平安合聚定开债,平安基金,段玮婧,中长期纯债券型基金,965473844.69,2.5934238798975,3.0032384568881,112.59041392561,,纯债基金
3178,009166.OF,009166,平安合享1年定开债,平安基金,张璐,中长期纯债券型基金,531282568.17,2.4440642491933,3.002803088469,137.34167937475,,纯债基金
3179,009167.OF,009167,博时富灿一年定开债发起式,博时基金,李汉楠,中长期纯债券型基金,1020613410.62,2.337044751534,2.3367376640827,114.067818972,,纯债基金
3189,009207.OF,009207,兴银汇智定开债,兴银基金,"洪木妹,王深",中长期纯债券型基金,1002563842.91,1.0743310354538,2.2822022387242,130.98316677454,,纯债基金
3190,009212.OF,009212,易方达恒茂39个月定开债发起式,易方达基金,藏海涛,中长期纯债券型基金,8041430670.19,0.13368222866304,0.13144895586041,146.59671626083,,纯债基金
3196,009235.OF,009235,景顺长城弘远66个月定期开放债券,景顺长城基金,何江波,中长期纯债券型基金,8595941055.74,2.3183589859207,2.3172415116457,159.86882646157,,纯债基金
3198,009237.OF,009237,兴业绿色纯债一年定开债券A,兴业基金,冯小波,中长期纯债券型基金,1334458197.01,2.1423019560965,2.14197714096,112.64040479634,A,纯债基金
3200,009252.OF,009252,蜂巢添元纯债A,蜂巢基金,金之洁,中长期纯债券型基金,526054461.44,0.94360889881262,1.5240664564806,100.05940400527,A,纯债基金
3202,009254.OF,009254,蜂巢添禧87个月定开,蜂巢基金,"李海涛,金之洁",中长期纯债券型基金,8083633032.75,3.6412781409626,3.6398744728093,182.12532389674,,纯债基金
3205,009257.OF,009257,工银尊利中短债债券F,工银瑞信,张略钊,短期纯债券型基金,421324169.52,1.1799499673865,1.1788757722089,109.11126113267,,纯债基金
3207,009271.OF,009271,博时信用优选债券A,博时基金,于渤洋,中长期纯债券型基金,6821896740.28,1.8924151527397,3.3976010173018,115.41196821981,A,纯债基金
3211,009284.OF,009284,上银慧丰利债券,上银基金,"许佳,高永",中长期纯债券型基金,1001334748.03,3.0508167385478,3.0508599550233,100.04661929798,,纯债基金
3214,009289.OF,009289,富国长江经济带纯债债券,富国基金,"吕春杰,张洋",中长期纯债券型基金,3417291563.93,1.2406120831181,1.2399962229116,119.46660220689,,纯债基金
3215,009290.OF,009290,富国添享一年持有期债券A,富国基金,武磊,混合债券型基金(一级),2152431569.91,3.0420972408995,3.7255705481742,128.14551227918,A,纯债基金
3217,009292.OF,009292,易方达年年恒春纯债一年定开发起式A,易方达基金,李一硕,中长期纯债券型基金,2278562129.22,1.1568239593264,2.2058383047765,152.55576727679,A,纯债基金
3219,009294.OF,009294,嘉实致益纯债债券,嘉实基金,王立芹,中长期纯债券型基金,1013472083.96,1.3312098564488,1.3314524543733,138.94429465958,,纯债基金
3221,009298.OF,009298,英大安惠纯债A,英大基金,"张婧珣,张大铮,易祺坤",中长期纯债券型基金,5523844488.48,0.84158461281774,0.84020268194135,100.03457606498,A,纯债基金
3228,009306.OF,009306,平安惠铭纯债,平安基金,"李瑾懿,张文平",中长期纯债券型基金,4881785808.95,2.2136049478778,2.2134475515658,130.27359170532,,纯债基金
3229,009309.OF,009309,国寿安保尊庆6个月持有期债券A,国寿安保基金,卢珊,混合债券型基金(一级),88711332.54,2.0396660843164,2.039789853101,121.86031089236,A,纯债基金
3237,009338.OF,009338,万家民瑞祥和6个月持有期债券A,万家基金,"周潜玮,周慧",中长期纯债券型基金,1986244634.35,4.6433360344407,4.6437257035898,125.92133532275,A,纯债基金
3239,009343.OF,009343,泰康长江经济带债券A,泰康基金,经惠云,中长期纯债券型基金,953109623.5,1.853489180069,2.1083188468688,137.20046279126,A,纯债基金
3243,009356.OF,009356,博时季季乐持有期债券A,博时基金,"李更,倪玉娟",短期纯债券型基金,5766051709.15,0.48131144257182,0.80817756871688,119.27575549464,A,纯债基金
3257,009417.OF,009417,国投瑞银顺荣债券A,国投瑞银基金,李鸥,中长期纯债券型基金,8405659202.47,0.14099962177157,0.13895239504457,145.97995437924,A,纯债基金
3266,009450.OF,009450,中金新辉1年,中金基金,董珊珊,中长期纯债券型基金,4008502794.7,1.6402225668874,1.6365981336851,143.36570469,,纯债基金
3269,009453.OF,009453,平安合兴1年定开债,平安基金,"张璐,段玮婧",中长期纯债券型基金,213766588.46,2.1955410303078,2.1948875310295,137.54877954888,,纯债基金
