,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_found_years_fund
770,009323.OF,009323,博时富通一年定开债发起式,博时基金,王惟,中长期纯债券型基金,1004141698.25,3.4301369863014
771,009324.OF,009324,长城中债3-5年国开债指数A,长城基金,张棪,被动指数型债券基金,380962585.15,2.8630136986301
772,009325.OF,009325,长城中债3-5年国开债指数C,长城基金,张棪,被动指数型债券基金,380962585.15,2.8630136986301
773,009338.OF,009338,万家民瑞祥和6个月持有期债券A,万家基金,"周潜玮,周慧",中长期纯债券型基金,1698818055.49,3.3616438356164
774,009339.OF,009339,万家民瑞祥和6个月持有期债券C,万家基金,"周慧,周潜玮",中长期纯债券型基金,1698818055.49,3.3616438356164
775,009343.OF,009343,泰康长江经济带债券A,泰康基金,经惠云,中长期纯债券型基金,932546757.75,3.2684931506849
776,009344.OF,009344,泰康长江经济带债券C,泰康基金,经惠云,中长期纯债券型基金,932546757.75,3.2684931506849
777,009349.OF,009349,前海联合添泽债券A,前海联合基金,孙连玉,混合债券型基金(一级),491556022.33,3.3232876712329
778,009350.OF,009350,前海联合添泽债券C,前海联合基金,孙连玉,混合债券型基金(一级),491556022.33,3.3232876712329
779,009356.OF,009356,博时季季乐持有期债券A,博时基金,"李更,倪玉娟",短期纯债券型基金,4846084768.95,3.3452054794521
780,009357.OF,009357,博时季季乐持有期债券C,博时基金,"倪玉娟,李更",短期纯债券型基金,4846084768.95,3.3452054794521
781,009358.OF,009358,兴业稳健双利一年持有期债券A,兴业基金,"腊博,冯小波",混合债券型基金(二级),84554624.14,3.0054794520548
782,009359.OF,009359,兴业稳健双利一年持有期债券C,兴业基金,"腊博,冯小波",混合债券型基金(二级),84554624.14,3.0054794520548
783,009386.OF,009386,创金合信泰享39个月,创金合信基金,"闫一帆,吕沂洋",中长期纯债券型基金,1033148495.69,3.1671232876712
784,009396.OF,009396,大成安诚债券A,大成基金,方锐,中长期纯债券型基金,4980120823.96,2.9041095890411
785,009397.OF,009397,大成安诚债券C,大成基金,方锐,中长期纯债券型基金,4980120823.96,2.9041095890411
786,009399.OF,009399,国新国证雄安建设发展三年定开,国新国证基金,黄诺楠,中长期纯债券型基金,78794494.64,3.2493150684932
787,009403.OF,009403,平安惠盈纯债C,平安基金,张恒,混合债券型基金(一级),2032594972.33,3.441095890411
788,009404.OF,009404,平安惠享纯债C,平安基金,苏宁,混合债券型基金(一级),53034897.95,3.4383561643836
789,009405.OF,009405,平安惠隆纯债C,平安基金,罗薇,中长期纯债券型基金,1035566556.15,3.441095890411
790,009406.OF,009406,平安高等级债C,平安基金,欧阳亮,混合债券型基金(一级),962852390.11,3.441095890411
791,009407.OF,009407,格林泓远纯债A,格林基金,"杜钧天,张晓圆",中长期纯债券型基金,1537982522.7,3.3041095890411
792,009408.OF,009408,格林泓远纯债C,格林基金,"杜钧天,张晓圆",中长期纯债券型基金,1537982522.7,3.3041095890411
793,009417.OF,009417,国投瑞银顺荣债券A,国投瑞银基金,李鸥,中长期纯债券型基金,8463201251.72,3.1315068493151
794,009418.OF,009418,国投瑞银顺荣债券C,国投瑞银基金,李鸥,中长期纯债券型基金,8463201251.72,3.1315068493151
795,009421.OF,009421,工银彭博国开债1-3年指数A,工银瑞信,汪湛,被动指数型债券基金,208041721.08,3.2712328767123
796,009422.OF,009422,工银彭博国开债1-3年指数C,工银瑞信,汪湛,被动指数型债券基金,208041721.08,3.2712328767123
797,009425.OF,009425,金信民安两年债券,金信基金,"刘雨卉,杨杰",中长期纯债券型基金,4942039268.4,0.37260273972603
798,009434.OF,009434,淳厚稳嘉债券A,淳厚基金,张蕊,混合债券型基金(一级),527702193.77,2.8109589041096
799,009435.OF,009435,淳厚稳嘉债券C,淳厚基金,张蕊,混合债券型基金(一级),527702193.77,2.8109589041096
800,009443.OF,009443,工银泰和39个月定开债券C,工银瑞信,王朔,中长期纯债券型基金,7892922597.53,3.2301369863014
801,009444.OF,009444,国泰添福一年定期开放债券,国泰基金,魏伟,中长期纯债券型基金,608299836.05,3.158904109589
802,009450.OF,009450,中金新辉1年,中金基金,董珊珊,中长期纯债券型基金,4005132720.43,3.2821917808219
803,009451.OF,009451,中金新盛1年,中金基金,尹海峰,中长期纯债券型基金,214653168.06,3.2438356164384
804,009452.OF,009452,光大保德信尊裕纯债一年债券发起式,光大保德信基金,李怀定,中长期纯债券型基金,233872742.24,3.0356164383562
805,009453.OF,009453,平安合兴1年定开债,平安基金,"张璐,段玮婧",中长期纯债券型基金,214716334.14,3.2684931506849
806,009456.OF,009456,东方稳健回报债券C,东方基金,刘长俊,混合债券型基金(一级),886996223.26,3.3808219178082
807,009457.OF,009457,红土创新纯债A,红土创新基金,邱骏,中长期纯债券型基金,1419470989.16,3.0630136986301
808,009458.OF,009458,红土创新纯债C,红土创新基金,邱骏,中长期纯债券型基金,1419470989.16,3.0630136986301
809,009459.OF,009459,创金合信季安鑫3个月C,创金合信基金,"黄佳祥,王一兵",混合债券型基金(一级),1148715772.43,3.3095890410959
810,009461.OF,009461,东方臻萃3个月定开债券A,东方基金,车日楠,中长期纯债券型基金,552242513.95,3.3616438356164
811,009462.OF,009462,东方臻萃3个月定开债券C,东方基金,车日楠,中长期纯债券型基金,552242513.95,3.3616438356164
812,009463.OF,009463,东方臻慧纯债债券A,东方基金,刘长俊,中长期纯债券型基金,5474686119.78,3.3616438356164
813,009464.OF,009464,东方臻慧纯债债券C,东方基金,刘长俊,中长期纯债券型基金,5474686119.78,3.3616438356164
814,009465.OF,009465,东方可转债债券A,东方基金,"徐奥千,杨贵宾",可转换债券型基金,867651063.86,2.5753424657534
815,009466.OF,009466,东方可转债债券C,东方基金,"杨贵宾,徐奥千",可转换债券型基金,867651063.86,2.5753424657534
816,009483.OF,009483,鹏华普利债券A,鹏华基金,刘涛,混合债券型基金(一级),2400289182.8,3.3041095890411
817,009484.OF,009484,鹏华普利债券C,鹏华基金,刘涛,混合债券型基金(一级),2400289182.8,3.3041095890411
818,009495.OF,009495,大成景轩中高等级债券A,大成基金,冯佳,中长期纯债券型基金,807898094.1,3.0794520547945
819,009496.OF,009496,大成景轩中高等级债券C,大成基金,冯佳,中长期纯债券型基金,807898094.1,3.0794520547945
820,009506.OF,009506,富荣富恒两年定开债,富荣基金,王丹,中长期纯债券型基金,4033572895.15,3.0520547945205
821,009509.OF,009509,平安惠润纯债,平安基金,高勇标,中长期纯债券型基金,3036094852.88,3.2082191780822
822,009510.OF,009510,天弘同利债券(LOF)E,天弘基金,"赵鼎龙,彭玮",混合债券型基金(一级),1642567668.45,3.358904109589
823,009512.OF,009512,天弘添利债券(LOF)E,天弘基金,杜广,混合债券型基金(一级),1502324609.57,3.358904109589
824,009517.OF,009517,人保福欣3个月定开债券A,人保资产,"程同朦,朱锐",中长期纯债券型基金,3129884111.7,1.7671232876712
825,009518.OF,009518,人保福欣3个月定开债券C,人保资产,"程同朦,朱锐",中长期纯债券型基金,3129884111.7,1.7671232876712
826,009519.OF,009519,中欧鼎利债券E,中欧基金,洪慧梅,混合债券型基金(二级),793307027.34,3.3260273972603
827,009520.OF,009520,中欧鼎利债券C,中欧基金,洪慧梅,混合债券型基金(二级),793307027.34,3.3260273972603
828,009523.OF,009523,宝盈聚福39个月定开债A,宝盈基金,"程逸飞,杨献忠",中长期纯债券型基金,5909577946.46,3.0904109589041
829,009524.OF,009524,宝盈聚福39个月定开债C,宝盈基金,"杨献忠,程逸飞",中长期纯债券型基金,5909577946.46,3.0904109589041
830,009529.OF,009529,国联中债1-5年国开行A,国联基金,朱柏蓉,被动指数型债券基金,2070704046.46,3.3041095890411
831,009530.OF,009530,国联中债1-5年国开行C,国联基金,朱柏蓉,被动指数型债券基金,2070704046.46,3.3041095890411
832,009532.OF,009532,广发景明中短债E,广发基金,宋倩倩,短期纯债券型基金,15316585370.07,3.358904109589
833,009533.OF,009533,太平恒泽63个月定开,太平基金,吴超,中长期纯债券型基金,8352221684.39,3.1479452054795
834,009534.OF,009534,南方升元中短期利率债A,南方基金,王景明,短期纯债券型基金,1411526073.06,3.2904109589041
835,009535.OF,009535,南方升元中短期利率债C,南方基金,王景明,短期纯债券型基金,1411526073.06,3.2904109589041
836,009541.OF,009541,银华中债1-3年农发行债券指数,银华基金,赵旭东,被动指数型债券基金,9547483624.33,3.3506849315068
837,009543.OF,009543,申万菱信安泰富利三年定期开放债券A,申万菱信基金,叶瑜珍,中长期纯债券型基金,8014056612.86,3.172602739726
838,009544.OF,009544,申万菱信安泰富利三年定期开放债券C,申万菱信基金,叶瑜珍,中长期纯债券型基金,8014056612.86,3.172602739726
839,009552.OF,009552,财通资管丰乾39个月定开债券A,财通证券资管,"金御,宫志芳",中长期纯债券型基金,3416914675.7,3.1013698630137
840,009553.OF,009553,财通资管丰乾39个月定开债券C,财通证券资管,"宫志芳,金御",中长期纯债券型基金,3416914675.7,3.1013698630137
841,009560.OF,009560,上银中债1-3年国开行债券指数,上银基金,许佳,被动指数型债券基金,11918929206.15,3.3041095890411
842,009561.OF,009561,博时富盛一年定开债发起式,博时基金,唐薇,中长期纯债券型基金,493696878.27,3.2082191780822
843,009567.OF,009567,山西证券裕丰一年定开发起式,山西证券,蓝烨,中长期纯债券型基金,717881760.46,3.3041095890411
844,009577.OF,009577,上银聚永益一年定开债券,上银基金,"许佳,楼昕宇",中长期纯债券型基金,5041205363.89,3.3013698630137
845,009578.OF,009578,上银聚德益一年定开债券,上银基金,许佳,中长期纯债券型基金,9888231498.16,3.2904109589041
846,009579.OF,009579,东方红鑫安39个月定开债券,东证资管,丁锐,中长期纯债券型基金,5641812530.63,3.0821917808219
847,009580.OF,009580,招商双债增强(LOF)D,招商基金,刘万锋,混合债券型基金(一级),7362157930.06,3.3506849315068
848,009581.OF,009581,国寿安保中债3-5年政金债指数A,国寿安保基金,卢珊,被动指数型债券基金,2492505559.83,2.8027397260274
849,009582.OF,009582,国寿安保中债3-5年政金债指数C,国寿安保基金,卢珊,被动指数型债券基金,2492505559.83,2.8027397260274
850,009583.OF,009583,淳厚安裕87个月定开债,淳厚基金,江文军,中长期纯债券型基金,7555143800.8,3.1671232876712
851,009584.OF,009584,华富63个月定期开放债券,华富基金,张惠,中长期纯债券型基金,7292233500.61,3.1561643835616
852,009585.OF,009585,中信建投稳丰63个月债,中信建投基金,杨龙龙,中长期纯债券型基金,8025210272.84,3.1753424657534
853,009587.OF,009587,国寿安保瑞和纯债66个月定期开放债券,国寿安保基金,丁宇佳,中长期纯债券型基金,8230474716.06,3.2575342465753
854,009593.OF,009593,国泰中债1-3年国开债A,国泰基金,"王玉,索峰",被动指数型债券基金,437983429.95,3.0931506849315
855,009594.OF,009594,国泰中债1-3年国开债C,国泰基金,"王玉,索峰",被动指数型债券基金,437983429.95,3.0931506849315
856,009599.OF,009599,嘉实致嘉纯债债券,嘉实基金,轩璇,中长期纯债券型基金,10621687539.29,3.2164383561644
857,009600.OF,009600,嘉实安泽一年定期纯债债券,嘉实基金,"赵国英,王立芹",中长期纯债券型基金,5879389040.79,3.0630136986301
858,009603.OF,009603,国金惠鑫短债E,国金基金,徐艳芳,短期纯债券型基金,107882576.99,3.3506849315068
859,009604.OF,009604,国金惠盈纯债债券E,国金基金,于涛,中长期纯债券型基金,568015261.25,3.3506849315068
860,009605.OF,009605,安信永顺一年定开债券,安信基金,祝璐琛,中长期纯债券型基金,1110042787.74,3.0904109589041
861,009610.OF,009610,天弘永利债券C,天弘基金,"赵鼎龙,张寓,杜广,姜晓丽",混合债券型基金(二级),31616514461.06,3.3452054794521
862,009615.OF,009615,南方中债0-2年国开行债券指数A,南方基金,朱佳,被动指数型债券基金,2361576291.29,3.1506849315068
863,009616.OF,009616,南方中债0-2年国开行债券指数C,南方基金,朱佳,被动指数型债券基金,2361576291.29,3.1506849315068
864,009617.OF,009617,东兴兴利债券C,东兴基金,司马义买买提,混合债券型基金(二级),10182115298.66,3.3452054794521
865,009625.OF,009625,天弘中债3-5年政策性金融债,天弘基金,刘洋,被动指数型债券基金,130110314.39,3.3260273972603
866,009632.OF,009632,浦银安盛普嘉87个月定开债券A,浦银安盛基金,李羿,中长期纯债券型基金,8129808286.51,3.2684931506849
867,009633.OF,009633,浦银安盛普嘉87个月定开债券C,浦银安盛基金,李羿,中长期纯债券型基金,8129808286.51,3.2684931506849
868,009637.OF,009637,招商信用添利债券(LOF)C,招商基金,向霈,混合债券型基金(一级),1407499050.66,3.3315068493151
869,009638.OF,009638,华泰紫金周周购12个月滚动债发起A,华泰(上海)资管,"刘振超,曹渝,陈利",混合债券型基金(二级),218354920.48,3.2849315068493
870,009639.OF,009639,华泰紫金周周购12个月滚动债发起C,华泰(上海)资管,"陈利,刘振超,曹渝",混合债券型基金(二级),218354920.48,3.2849315068493
871,009642.OF,009642,富国荣利纯债一年定期开放债券型发起式,富国基金,张洋,中长期纯债券型基金,208400491.14,3.0630136986301
872,009643.OF,009643,嘉实致信一年定期纯债债券,嘉实基金,"轩璇,吴翠",中长期纯债券型基金,2470776074.63,3.2739726027397
873,009655.OF,009655,工银尊益中短债债券A,工银瑞信,谷衡,短期纯债券型基金,5382230438.39,3.1972602739726
874,009656.OF,009656,华安中债1-5年国开行债券ETF联接A,华安基金,林唐宇,被动指数型债券基金,1392537758.37,3.0191780821918
875,009657.OF,009657,华安中债1-5年国开行债券ETF联接C,华安基金,林唐宇,被动指数型债券基金,1392537758.37,3.0191780821918
876,009666.OF,009666,兴全恒祥88个月定开债券,兴证全球基金,季伟杰,中长期纯债券型基金,8013128689.2,3.158904109589
877,009670.OF,009670,东方红益丰纯债债券A,东证资管,陈觉平,中长期纯债券型基金,400649866.77,3.1945205479452
878,009673.OF,009673,嘉合慧康63个月定开债券A,嘉合基金,季慧娟,中长期纯债券型基金,8018390854.78,3.1561643835616
879,009674.OF,009674,嘉合慧康63个月定开债券C,嘉合基金,季慧娟,中长期纯债券型基金,8018390854.78,3.1561643835616
880,009675.OF,009675,国联融慧双欣一年定开债券A,国联基金,"钱文成,韩正宇",混合债券型基金(二级),114271897.62,3.2082191780822
881,009676.OF,009676,国联融慧双欣一年定开债券C,国联基金,"韩正宇,钱文成",混合债券型基金(二级),114271897.62,3.2082191780822
882,009679.OF,009679,浙商惠隆39个月定开债,浙商基金,"赵柳燕,朱靖宇",中长期纯债券型基金,5157298944.69,3.0547945205479
883,009685.OF,009685,景顺长城景泰宝利一年定期开放纯债发起式,景顺长城基金,"何江波,赵天彤",中长期纯债券型基金,513313605.2,2.9095890410959
884,009699.OF,009699,长信浦瑞87个月定开债券,长信基金,陆莹,中长期纯债券型基金,8016608629.85,3.1397260273973
885,009702.OF,009702,鹏华中债1-3年农发行债券指数A,鹏华基金,叶朝明,被动指数型债券基金,24825452436.35,3.1205479452055
886,009703.OF,009703,鹏华中债1-3年农发行债券指数C,鹏华基金,叶朝明,被动指数型债券基金,24825452436.35,3.1205479452055
887,009711.OF,009711,招商添盛78个月定开债,招商基金,黄晓婷,中长期纯债券型基金,8015455430.28,3.1890410958904
888,009721.OF,009721,平安中债1-5年政策性金融债A,平安基金,张恒,被动指数型债券基金,864109622.43,3.0082191780822
889,009722.OF,009722,平安中债1-5年政策性金融债C,平安基金,张恒,被动指数型债券基金,864109622.43,3.0082191780822
890,009728.OF,009728,中银证券安泰债券A,中银证券,王文华,混合债券型基金(二级),42752425.59,3.172602739726
891,009729.OF,009729,中银证券安泰债券C,中银证券,王文华,混合债券型基金(二级),42752425.59,3.172602739726
892,009730.OF,009730,中信保诚安鑫回报债券A,中信保诚基金,"陈岚,韩海平",混合债券型基金(二级),145068364.8,3.172602739726
893,009731.OF,009731,中信保诚安鑫回报债券C,中信保诚基金,"陈岚,韩海平",混合债券型基金(二级),145068364.8,3.172602739726
894,009732.OF,009732,兴业稳泰66个月定开债券,兴业基金,唐丁祥,中长期纯债券型基金,8123884462.49,3.2054794520548
895,009735.OF,009735,天弘增强回报E,天弘基金,"姜晓丽,彭玮,张寓",混合债券型基金(二级),7949695229.23,3.3013698630137
896,009738.OF,009738,格林泓安63个月定开债,格林基金,"尹子昕,张晓圆",中长期纯债券型基金,5759719884.29,2.9095890410959
897,009742.OF,009742,鹏华中债-0-3年AA+优选信用债指数A,鹏华基金,张佳蕾,被动指数型债券基金,510676396.83,3.0191780821918
898,009743.OF,009743,鹏华中债-0-3年AA+优选信用债指数C,鹏华基金,张佳蕾,被动指数型债券基金,510676396.83,3.0191780821918
899,009748.OF,009748,汇丰晋信惠安纯债63个月定开债券,汇丰晋信基金,"傅煜清,蔡若林",中长期纯债券型基金,4111750140.9,2.9205479452055
900,009749.OF,009749,西部利得尊泰86个月定开债券,西部利得基金,"刘心峰,李烨",中长期纯债券型基金,8338627067.99,3.172602739726
901,009752.OF,009752,大摩灵动优选债券A,摩根士丹利基金,"周梦琳,方旭赟",混合债券型基金(二级),91485804.35,3.0328767123288
902,009756.OF,009756,华宝宝利债券,华宝基金,林昊,中长期纯债券型基金,8064423617.76,3.227397260274
903,009757.OF,009757,华宝1-3年国开债指数,华宝基金,林昊,被动指数型债券基金,150211287.25,3.0328767123288
904,009758.OF,009758,富国可转债C,富国基金,"祝祯哲,张明凯",可转换债券型基金,4542257999.51,3.2684931506849
905,009759.OF,009759,鹏扬淳安66个月债券A,鹏扬基金,陈钟闻,混合债券型基金(二级),8327135696.98,3.1945205479452
906,009760.OF,009760,鹏扬淳安66个月债券C,鹏扬基金,陈钟闻,混合债券型基金(二级),8327135696.98,3.1945205479452
907,009761.OF,009761,光大保德信尊合87个月债券,光大保德信基金,沈荣,中长期纯债券型基金,8102603592.08,3.158904109589
908,009763.OF,009763,惠升和悦债券A,惠升基金,"李刚,曾华",混合债券型基金(二级),3161368996.76,3.2328767123288
909,009764.OF,009764,惠升和悦债券C,惠升基金,"李刚,曾华",混合债券型基金(二级),3161368996.76,3.2328767123288
910,009765.OF,009765,惠升和煦88个月定开债券,惠升基金,卓勇,中长期纯债券型基金,5046249289.54,3.0767123287671
911,009770.OF,009770,英大安鑫66个月定期开放债券,英大基金,"易祺坤,张大铮",中长期纯债券型基金,8039479013.28,3.0164383561644
912,009771.OF,009771,汇安嘉汇纯债债券C,汇安基金,"王作舟,金鸿峰",中长期纯债券型基金,1272660614.34,3.2547945205479
913,009772.OF,009772,嘉实彭博国开债1-5年指数A,嘉实基金,王立芹,被动指数型债券基金,3469373206.63,2.9095890410959
914,009773.OF,009773,嘉实彭博国开债1-5年指数C,嘉实基金,王立芹,被动指数型债券基金,3469373206.63,2.9095890410959
915,009780.OF,009780,德邦锐泽86个月定期开放债券,德邦基金,丁孙楠,中长期纯债券型基金,8482328400.76,3.1698630136986
916,009784.OF,009784,安信尊享添利利率债A,安信基金,"王涛,祝璐琛",中长期纯债券型基金,102304539.33,3.1013698630137
917,009785.OF,009785,安信尊享添利利率债C,安信基金,"王涛,祝璐琛",中长期纯债券型基金,102304539.33,3.1013698630137
918,009786.OF,009786,华安锦源0-7年金融债定开债,华安基金,"林唐宇,周舒展,贺涛",中长期纯债券型基金,6700242261.85,2.8027397260274
919,009792.OF,009792,工银瑞益债券A,工银瑞信,张略钊,中长期纯债券型基金,742592307.47,3.0082191780822
920,009793.OF,009793,工银瑞益债券C,工银瑞信,张略钊,中长期纯债券型基金,742592307.47,3.0082191780822
921,009799.OF,009799,中银证券安汇三年定期开放债券,中银证券,"王玉玺,曹张琪",中长期纯债券型基金,7962352885.51,3.0794520547945
922,009802.OF,009802,东海祥泰三年定开,东海基金,"渠淼,张浩硕,邢烨",中长期纯债券型基金,8022253334.53,3.186301369863
923,009803.OF,009803,易方达中债7-10年期国开行债券指数C,易方达基金,杨真,被动指数型债券基金,2965901133.46,3.2328767123288
924,009809.OF,009809,易方达恒智63个月定开债券发起式,易方达基金,藏海涛,中长期纯债券型基金,8141009597.88,3.186301369863
925,009814.OF,009814,宏利乐盈66个月定期开放债券A,宏利基金,宁霄,中长期纯债券型基金,7854985510.87,3.1671232876712
926,009815.OF,009815,宏利乐盈66个月定期开放债券C,宏利基金,宁霄,中长期纯债券型基金,7854985510.87,3.1671232876712
927,009816.OF,009816,大摩丰裕63个月开放债券,摩根士丹利基金,施同亮,中长期纯债券型基金,8209622319.73,2.9041095890411
928,009826.OF,009826,民生加银家盈6个月持有期债券A,民生加银基金,夏荣尧,混合债券型基金(二级),72526923.77,3.1561643835616
929,009827.OF,009827,民生加银家盈6个月持有期债券C,民生加银基金,夏荣尧,混合债券型基金(二级),72526923.77,3.1561643835616
930,009831.OF,009831,长城稳利纯债A,长城基金,吴冰燕,中长期纯债券型基金,1079014928.94,2.558904109589
931,009832.OF,009832,长城稳利纯债C,长城基金,吴冰燕,中长期纯债券型基金,1079014928.94,2.558904109589
932,009833.OF,009833,创金合信泰博66个月定开债券,创金合信基金,"闫一帆,孙霄宇,吕沂洋",中长期纯债券型基金,8192869457.62,3.1780821917808
933,009834.OF,009834,东方红鑫泰66个月定开债券,东证资管,丁锐,中长期纯债券型基金,7997984554.93,3.186301369863
934,009836.OF,009836,渤海汇金汇裕87个月定期开放债券,渤海汇金资管,"李杨,高延龙",中长期纯债券型基金,8066498834.36,2.8876712328767
935,009839.OF,009839,国金惠丰39个月定开,国金基金,谢雨芮,中长期纯债券型基金,2847664841.05,3.1506849315068
936,009844.OF,009844,华泰紫金丰安27个月定开债券发起A,华泰(上海)资管,"肖芳芳,陈利,刘鹏飞",中长期纯债券型基金,8049605298.34,3.0164383561644
937,009845.OF,009845,华泰紫金丰安27个月定开债券发起C,华泰(上海)资管,"刘鹏飞,肖芳芳,陈利",中长期纯债券型基金,8049605298.34,3.0164383561644
938,009851.OF,009851,上银聚远盈42个月定开债券,上银基金,葛沁沁,中长期纯债券型基金,8617302266.19,3.1917808219178
939,009866.OF,009866,永赢瑞宁87个月定开债,永赢基金,谢越,中长期纯债券型基金,8567506737.11,3.1890410958904
940,009871.OF,009871,景顺景瑞收益债券C,景顺长城基金,徐栋,混合债券型基金(一级),111599595.31,3.2164383561644
941,009889.OF,009889,华润元大润禧39个月定开债A,华润元大基金,"程涛涛,金兴健",中长期纯债券型基金,3628532653.09,3.1013698630137
942,009890.OF,009890,华润元大润禧39个月定开债C,华润元大基金,"金兴健,程涛涛",中长期纯债券型基金,3628532653.09,3.1013698630137
943,009894.OF,009894,前海开源惠盈39个月定开债券,前海开源基金,李炳智,中长期纯债券型基金,5290832717.55,3.1013698630137
944,009895.OF,009895,摩根瑞盛87个月定期开放债券,摩根资产管理,雷杨娟,中长期纯债券型基金,8530850963.16,3.158904109589
945,009906.OF,009906,诺德安瑞39个月定开,诺德基金,景辉,中长期纯债券型基金,4186746348.53,3.0958904109589
946,009916.OF,009916,格林泓利增强债券A,格林基金,柳杨,混合债券型基金(二级),279544173.48,3.1534246575342
947,009917.OF,009917,格林泓利增强债券C,格林基金,柳杨,混合债券型基金(二级),279544173.48,3.1534246575342
948,009920.OF,009920,鹏华年年红一年持有期债券A,鹏华基金,刘涛,中长期纯债券型基金,3699586600.0,3.1013698630137
949,009921.OF,009921,鹏华年年红一年持有期债券C,鹏华基金,刘涛,中长期纯债券型基金,3699586600.0,3.1013698630137
950,009922.OF,009922,华夏鼎富债券A,华夏基金,吴彬,中长期纯债券型基金,2095732201.01,2.9424657534247
951,009923.OF,009923,华夏鼎富债券C,华夏基金,吴彬,中长期纯债券型基金,2095732201.01,2.9424657534247
952,009924.OF,009924,中银中债1-5年期国开行债券指数,中银基金,"高志刚,李宪,田原",被动指数型债券基金,1839226030.24,2.8054794520548
953,009933.OF,009933,浦银安盛普华66个月定开债券A,浦银安盛基金,李羿,中长期纯债券型基金,8054107235.43,3.1397260273973
954,009934.OF,009934,浦银安盛普华66个月定开债券C,浦银安盛基金,李羿,中长期纯债券型基金,8054107235.43,3.1397260273973
955,009942.OF,009942,财通资管鸿益中短债债券E,财通证券资管,李杰,短期纯债券型基金,7995670143.0,2.9232876712329
956,009943.OF,009943,浦银安盛稳健丰利债券A,浦银安盛基金,"李羿,郑双超",混合债券型基金(二级),621416841.01,2.6575342465753
957,009944.OF,009944,浦银安盛稳健丰利债券C,浦银安盛基金,"李羿,郑双超",混合债券型基金(二级),621416841.01,2.6575342465753
958,009947.OF,009947,华宝宝泓债券,华宝基金,"付婷,王慧",中长期纯债券型基金,504857425.52,2.5945205479452
959,009953.OF,009953,华泰柏瑞锦乾债券,华泰柏瑞基金,罗远航,中长期纯债券型基金,1127406384.15,2.9178082191781
960,009979.OF,009979,新华安享惠融88个月定期开放债券A,新华基金,裴铎,中长期纯债券型基金,8127104640.25,2.9452054794521
961,009980.OF,009980,新华安享惠融88个月定期开放债券C,新华基金,裴铎,中长期纯债券型基金,8127104640.25,2.9452054794521
962,009985.OF,009985,永赢迅利中高等级短债E,永赢基金,卢绮婷,短期纯债券型基金,6376070669.65,3.1479452054795
963,010011.OF,010011,景顺长城景颐招利6个月持有期债券A类,景顺长城基金,"李怡文,董晗,邹立虎",混合债券型基金(二级),6235617988.24,3.0027397260274
964,010012.OF,010012,景顺长城景颐招利6个月持有期债券C类,景顺长城基金,"董晗,邹立虎,李怡文",混合债券型基金(二级),6235617988.24,3.0027397260274
965,010014.OF,010014,华夏鼎清债券A,华夏基金,柳万军,混合债券型基金(二级),2348801482.86,2.8246575342466
966,010015.OF,010015,华夏鼎清债券C,华夏基金,柳万军,混合债券型基金(二级),2348801482.86,2.8246575342466
967,010035.OF,010035,平安高等级债E,平安基金,欧阳亮,混合债券型基金(一级),962852390.11,3.1315068493151
968,010048.OF,010048,平安短债I,平安基金,欧阳亮,短期纯债券型基金,8521148108.75,3.1315068493151
969,010053.OF,010053,安信聚利增强债券B,安信基金,梁冰哲,混合债券型基金(二级),23226986.36,3.0328767123288
970,010068.OF,010068,工银双盈债券A,工银瑞信,何秀红,混合债券型基金(二级),249794355.26,2.8082191780822
971,010069.OF,010069,工银双盈债券C,工银瑞信,何秀红,混合债券型基金(二级),249794355.26,2.8082191780822
972,010083.OF,010083,中银欣享利率债,中银基金,"白洁,刘筱筠",中长期纯债券型基金,1628506892.76,2.9561643835616
973,010084.OF,010084,蜂巢丰瑞债券A,蜂巢基金,李海涛,混合债券型基金(一级),2273693387.41,2.4219178082192
974,010085.OF,010085,蜂巢丰瑞债券C,蜂巢基金,李海涛,混合债券型基金(一级),2273693387.41,2.4219178082192
975,010086.OF,010086,中邮纯债丰利债券A,中邮基金,"张悦,武志骁",混合债券型基金(一级),2180886693.38,2.8630136986301
976,010087.OF,010087,中邮纯债丰利债券C,中邮基金,"武志骁,张悦",混合债券型基金(一级),2180886693.38,2.8630136986301
977,010092.OF,010092,永赢华嘉信用债A,永赢基金,"杨凡颖,曾琬云",中长期纯债券型基金,8697437186.69,2.4465753424658
978,010096.OF,010096,博远鑫享三个月债券A,博远基金,"黄婧丽,余丽旋",混合债券型基金(二级),104608447.14,3.0
979,010097.OF,010097,博远鑫享三个月债券C,博远基金,"余丽旋,黄婧丽",混合债券型基金(二级),104608447.14,3.0
980,010098.OF,010098,博远鑫享三个月债券E,博远基金,"余丽旋,黄婧丽",混合债券型基金(二级),104608447.14,3.0
981,010099.OF,010099,民生加银汇智3个月定开债券,民生加银基金,姚航,中长期纯债券型基金,536573864.44,2.7506849315068
982,010102.OF,010102,西部利得鑫泓增强债券A,西部利得基金,"周平,袁朔,梁晓明",混合债券型基金(二级),60315758.69,2.8630136986301
983,010103.OF,010103,西部利得鑫泓增强债券C,西部利得基金,"周平,袁朔,梁晓明",混合债券型基金(二级),60315758.69,2.8630136986301
984,010118.OF,010118,天弘多元收益A,天弘基金,杜广,混合债券型基金(二级),8717985138.13,2.9205479452055
